 Subcycle   Step   binding_Energy   VDW_Energy   ELE+EGB_Energy  Scaled_Peptide_
 Energy
    5   19  -17.8274  -36.4273   18.5998    0.0000
    5   20  -13.1199  -32.8103   19.6904    0.0000
    5   21  -11.2900  -36.7932   25.5031    0.0000
    5   22  -15.2578  -37.5828   22.3250    0.0000
    5   23  -20.5348  -44.2796   23.7448    0.0000
    5   24  -20.5348  -44.2796   23.7448    0.0000
    5   25  -18.1711  -40.3792   22.2081    0.0000
    5   26  -11.6344  -32.9709   21.3365    0.0000
    5   27  -11.6344  -32.9709   21.3365    0.0000
    5   28  -14.1881  -33.9227   19.7346    0.0000
    5   29  -16.6091  -37.7208   21.1117    0.0000
    5   30  -16.4140  -37.2746   20.8606    0.0000
    5   31  -19.0160  -38.9980   19.9820    0.0000
    5   32  -13.4775  -37.2562   23.7787    0.0000
    5   33  -18.9682  -40.4539   21.4857    0.0000
    5   34  -12.8534  -39.6751   26.8218    0.0000
    5   35  -20.4258  -42.3815   21.9557    0.0000
    5   36  -21.3683  -44.7512   23.3828    0.0000
    5   37  -21.3683  -44.7512   23.3828    0.0000
    5   38  -23.0048  -46.4145   23.4097    0.0000
    5   39  -25.4219  -46.8772   21.4553    0.0000
    5   40  -26.9028  -48.3954   21.4926    0.0000
    5   41  -21.2927  -41.8970   20.6043    0.0000
    5   42  -20.9856  -41.4880   20.5024    0.0000
    5   43  -20.9856  -41.4880   20.5024    0.0000
    5   44  -19.2255  -37.8871   18.6616    0.0000
    5   45  -20.5360  -40.4911   19.9550    0.0000
    5   46  -21.4381  -42.0200   20.5819    0.0000
    5   47  -16.7199  -38.8459   22.1260    0.0000
    5   48  -16.8143  -40.5900   23.7757    0.0000
    5   49  -17.1877  -41.4756   24.2878    0.0000
    5   50  -16.6787  -41.0633   24.3847    0.0000
    5   51  -12.7707  -38.5439   25.7732    0.0000
    5   52  -12.6387  -35.0106   22.3719    0.0000
    5   53  -17.5284  -38.0643   20.5359    0.0000
    5   54  -22.7572  -46.0167   23.2595    0.0000
